ID;Book Name;5 star;4 star;3 star;2 star;1 star;Total Customer Reviews;Path
9332549443;The C Programming Language;100;23;4;2;2;131;Books/Textbooks/ComputerScience
000100039X;Testy McTest and the Silver Bridle: CCT1q (Test Club Secrets, Book 6);3;2;0;0;1;6;Books/Religion/ReligiousStudies
